# z rho(z) P(z) g(z) n(z) K(z) phi(z)
1.014676799999999948e+22 1.440243607730235590e-26 2.020756098986799852e-11 3.024881148724967215e-09 1.463627896527197776e-02 1.671268448642959595e+08 1.134181930240282227e+13
1.022083199999999895e+22 1.440012377851736832e-26 2.020431668324697474e-11 3.058480252519712135e-09 1.463392912321147613e-02 1.671447353058278561e+08 1.156709834780297852e+13
1.029489600000000052e+22 1.439778631571506328e-26 2.020103706986173867e-11 3.092076841169489791e-09 1.463155370856204611e-02 1.671628253104119003e+08 1.179486580305959961e+13
1.036896000000000000e+22 1.439542370439248274e-26 2.019772217145565682e-11 3.125667863631768328e-09 1.462915273707234877e-02 1.671811149182570577e+08 1.202512136873860352e+13
1.044302399999999948e+22 1.439303596242711073e-26 2.019437201311199901e-11 3.159250303679281080e-09 1.462672622691013093e-02 1.671996041528460681e+08 1.225786452046783984e+13
1.051708800000000105e+22 1.439062311007170185e-26 2.019098662324672309e-11 3.192821180149189082e-09 1.462427419865697936e-02 1.672182930209501088e+08 1.249309451214042188e+13
1.059115200000000052e+22 1.438818516995428701e-26 2.018756603360841684e-11 3.226377547176886567e-09 1.462179667530831735e-02 1.672371815126023591e+08 1.273081037805692578e+13
1.066521600000000000e+22 1.438572216707815913e-26 2.018411027927835935e-11 3.259916494414603296e-09 1.461929368227340466e-02 1.672562696010710001e+08 1.297101093538053906e+13
1.073927999999999948e+22 1.438323412882189315e-26 2.018061939867046605e-11 3.293435147234968330e-09 1.461676524737533928e-02 1.672755572428312898e+08 1.321369478740701172e+13
1.081334399999999895e+22 1.438072108481438669e-26 2.017709343335603634e-11 3.326930666919718049e-09 1.461421140072408954e-02 1.672950443785058856e+08 1.345886032578019922e+13
1.088740800000000052e+22 1.437818306693715587e-26 2.017353242806691041e-11 3.360400250833752743e-09 1.461163217471880826e-02 1.673147309328191876e+08 1.370650573293593555e+13
1.096147200000000000e+22 1.437562010934227487e-26 2.016993643072069826e-11 3.393841132584679479e-09 1.460902760406607159e-02 1.673346168144290149e+08 1.395662898542464453e+13
1.103553599999999948e+22 1.437303224832683963e-26 2.016630549224459667e-11 3.427250582168095215e-09 1.460639772565231267e-02 1.673547019168713987e+08 1.420922785623674414e+13
1.110960000000000105e+22 1.437041952233298795e-26 2.016263966657543447e-11 3.460625906098751585e-09 1.460374257854382338e-02 1.673749861185314357e+08 1.446429991718378711e+13
1.118366400000000052e+22 1.436778197194787941e-26 2.015893901065966931e-11 3.493964447527833811e-09 1.460106220398675429e-02 1.673954692826134264e+08 1.472184254225218164e+13
1.125772800000000000e+22 1.436511963990370108e-26 2.015520358445334884e-11 3.527263586346548111e-09 1.459835664540710780e-02 1.674161512571104765e+08 1.498185291008791797e+13
1.133179199999999948e+22 1.436243257107055033e-26 2.015143345091216198e-11 3.560520739276212014e-09 1.459562594840350426e-02 1.674370318748283684e+08 1.524432800626282422e+13
1.140585599999999895e+22 1.435972081228254424e-26 2.014762867574743674e-11 3.593733359945084960e-09 1.459287016057047616e-02 1.674581109547057748e+08 1.550926462662563086e+13
1.147992000000000052e+22 1.435698441245119632e-26 2.014378932758523037e-11 3.626898938952120352e-09 1.459008933161368149e-02 1.674793883009018898e+08 1.577665938000520117e+13
1.155398400000000000e+22 1.435422342246664742e-26 2.013991547782775397e-11 3.660015003917868180e-09 1.458728351324953439e-02 1.675008637035322785e+08 1.604650869031787891e+13
1.162804799999999948e+22 1.435143789512806589e-26 2.013600720055568114e-11 3.693079119522762321e-09 1.458445275913446137e-02 1.675225369391786456e+08 1.631880879986972461e+13
1.170211200000000105e+22 1.434862788514362461e-26 2.013206457252817386e-11 3.726088887532982751e-09 1.458159712486490137e-02 1.675444077708571553e+08 1.659355577233223438e+13
1.177617600000000052e+22 1.434579344913051824e-26 2.012808767318286634e-11 3.759041946814130496e-09 1.457871666797730566e-02 1.675664759479857683e+08 1.687074549466685547e+13
1.185024000000000000e+22 1.434293464561496323e-26 2.012407658463586175e-11 3.791935973332945685e-09 1.457581144794813967e-02 1.675887412063514888e+08 1.715037368033700195e+13
1.192430399999999948e+22 1.434005153500077279e-26 2.012003139163767197e-11 3.824768680147280883e-09 1.457288152616195362e-02 1.676112032683212161e+08 1.743243587256695898e+13
1.199836799999999895e+22 1.433714417939912267e-26 2.011595218133434332e-11 3.857537817384568337e-09 1.456992696573838550e-02 1.676338618441350460e+08 1.771692744608572266e+13
1.207243200000000052e+22 1.433421264278305284e-26 2.011183904348423926e-11 3.890241172208998275e-09 1.456694783168915701e-02 1.676567166306692660e+08 1.800384361027625000e+13
1.214649600000000000e+22 1.433125699082628474e-26 2.010769207023188731e-11 3.922876568777650213e-09 1.456394419075429485e-02 1.676797673126585186e+08 1.829317941256648438e+13
