# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
6.295439999999999476e+21 1.423854437512686220e-26 1.997761019892757513e-11 1.360268770296893732e-09 1.446972626125309601e-02 2.248483833221679973e+01 2.978261277155497559e+12 8.335839927667599582e-06
6.369504000000000000e+21 1.423751120095631806e-26 1.997616058790674740e-11 1.389078474433261189e-09 1.446867631211264452e-02 2.248592609130195186e+01 3.080073904718524902e+12 8.335839927667599582e-06
6.443568000000000524e+21 1.423645637862058312e-26 1.997468060309247996e-11 1.418080487829419590e-09 1.446760436331996982e-02 2.248703677800477507e+01 3.184027441149675781e+12 8.335839927667599582e-06
6.517632000000000000e+21 1.423537976997745248e-26 1.997317005066221890e-11 1.447270702628889302e-09 1.446651027448994827e-02 2.248817054628235823e+01 3.290135977534453613e+12 8.335839927667599582e-06
6.591695999999999476e+21 1.423428124011416818e-26 1.997162874132452153e-11 1.476645010140778453e-09 1.446539390851932921e-02 2.248932754694181568e+01 3.398413300664635742e+12 8.335839927667599582e-06
6.665760000000000000e+21 1.423316065734741335e-26 1.997005649031907901e-11 1.506199301913705729e-09 1.446425513158674202e-02 2.249050792764199258e+01 3.508872893045321289e+12 8.335839927667599582e-06
6.739824000000000524e+21 1.423201789322331227e-26 1.996845311741668399e-11 1.535929470798140582e-09 1.446309381315268906e-02 2.249171183289506359e+01 3.621527932926644043e+12 8.335839927667599582e-06
6.813888000000000000e+21 1.423085282251743327e-26 1.996681844691926300e-11 1.565831411996811346e-09 1.446190982595955098e-02 2.249293940406804992e+01 3.736391294410928711e+12 8.335839927667599582e-06
6.887951999999999476e+21 1.422966532323478576e-26 1.996515230765985698e-11 1.595901024102796022e-09 1.446070304603158663e-02 2.249419077938419420e+01 3.853475547754610840e+12 8.335839927667599582e-06
6.962016000000000000e+21 1.422845527660982320e-26 1.996345453300261812e-11 1.626134210124968158e-09 1.445947335267492966e-02 2.249546609392426433e+01 3.972792959619545410e+12 8.335839927667599582e-06
7.036080000000000524e+21 1.422722256710644017e-26 1.996172496084282919e-11 1.656526878500450615e-09 1.445822062847759021e-02 2.249676547962772233e+01 4.094355493362498535e+12 8.335839927667599582e-06
7.110144000000000000e+21 1.422596708240552871e-26 1.995996343358943264e-11 1.687074944093764135e-09 1.445694475929681054e-02 2.249808906530691743e+01 4.218174809498621582e+12 8.335839927667599582e-06
7.184207999999999476e+21 1.422468871338971634e-26 1.995816979814359815e-11 1.717774329182357823e-09 1.445564563424355138e-02 2.249943697666414977e+01 4.344262266419966309e+12 8.335839927667599582e-06
7.258272000000000000e+21 1.422338735419015344e-26 1.995634390596440276e-11 1.748620964428224185e-09 1.445432314573003897e-02 2.250080933624317936e+01 4.472628920674874023e+12 8.335839927667599582e-06
7.332336000000000524e+21 1.422206290212339927e-26 1.995448561298025793e-11 1.779610789835314154e-09 1.445297718940563060e-02 2.250220626349652875e+01 4.603285527716286133e+12 8.335839927667599582e-06
7.406400000000000000e+21 1.422071525768647148e-26 1.995259477958195277e-11 1.810739755692494453e-09 1.445160766415177697e-02 2.250362787479132720e+01 4.736242542801349609e+12 8.335839927667599582e-06
7.480463999999999476e+21 1.421934432455684609e-26 1.995067127062268639e-11 1.842003823501769971e-09 1.445021447208202914e-02 2.250507428340985072e+01 4.871510121647182617e+12 8.335839927667599582e-06
7.554528000000000000e+21 1.421795000959244603e-26 1.994871495541802913e-11 1.873398966891543690e-09 1.444879751854202636e-02 2.250654559954996614e+01 5.009098121181368164e+12 8.335839927667599582e-06
7.628592000000000524e+21 1.421653222283166122e-26 1.994672570774593868e-11 1.904921172514672194e-09 1.444735671210950825e-02 2.250804193032538691e+01 5.149016100681600586e+12 8.335839927667599582e-06
7.702656000000000000e+21 1.421509087749333424e-26 1.994470340584677628e-11 1.936566440931104199e-09 1.444589196459430958e-02 2.250956337976587562e+01 5.291273322781450195e+12 8.335839927667599582e-06
7.776719999999999476e+21 1.421362588996197477e-26 1.994264793240253024e-11 1.968330787474893836e-09 1.444440319102332886e-02 2.251111004883289013e+01 5.435878754269958984e+12 8.335839927667599582e-06
7.850784000000000000e+21 1.421213717970341446e-26 1.994055917441849035e-11 2.000210243105390182e-09 1.444289030955481917e-02 2.251268203550861813e+01 5.582841067438338867e+12 8.335839927667599582e-06
7.924848000000000524e+21 1.421062466937143083e-26 1.993843702337284153e-11 2.032200855242434495e-09 1.444135324158673725e-02 2.251427943468323534e+01 5.732168641366324219e+12 8.335839927667599582e-06
7.998912000000000000e+21 1.420908828471398317e-26 1.993628137508510018e-11 2.064298688585381516e-09 1.443979191166145856e-02 2.251590233825366738e+01 5.883869562828077148e+12 8.335839927667599582e-06
8.072975999999999476e+21 1.420752795455314367e-26 1.993409212968798670e-11 2.096499825915807116e-09 1.443820624744539260e-02 2.251755083514437672e+01 6.037951627833692383e+12 8.335839927667599582e-06
8.147040000000000000e+21 1.420594361078512609e-26 1.993186919162741911e-11 2.128800368883736022e-09 1.443659617972899156e-02 2.251922501130692922e+01 6.194422343137152344e+12 8.335839927667599582e-06
8.221104000000000524e+21 1.420433518838025993e-26 1.992961246966250981e-11 2.161196438777283750e-09 1.443496164242674164e-02 2.252092494971937953e+01 6.353288927271742188e+12 8.335839927667599582e-06
8.295168000000000000e+21 1.420270262538300194e-26 1.992732187686558493e-11 2.193684177275571699e-09 1.443330257257716999e-02 2.252265073038557830e+01 6.514558312287362305e+12 8.335839927667599582e-06
8.369231999999999476e+21 1.420104586291193319e-26 1.992499733062214234e-11 2.226259747184827731e-09 1.443161891034283606e-02 2.252440243033430534e+01 6.678237145433846680e+12 8.335839927667599582e-06
