# z rho(z) P(z) g(z) n(z) K(z)
2.353095978562063974e+19 1.150804667903514370e-26 4.747707139121288920e-11 1.019365482626165287e-10 1.146242622266892101e-02 5.901153149567118883e+08
2.380570427598218854e+19 1.150804660045602823e-26 4.747707106703047385e-11 1.031267454821008282e-10 1.146242614440130987e-02 5.901153176429911852e+08
2.408365664803117056e+19 1.150804652003124027e-26 4.747707073523364770e-11 1.043308392595045392e-10 1.146242606429534461e-02 5.901153203923659325e+08
2.436485435658591846e+19 1.150804643771743346e-26 4.747707039564356525e-11 1.055489918480904386e-10 1.146242598230784795e-02 5.901153232063180208e+08
2.464933529378186854e+19 1.150804635347023403e-26 4.747707004807716757e-11 1.067813673955250429e-10 1.146242589839462263e-02 5.901153260863645077e+08
2.493713779417878938e+19 1.150804626724423078e-26 4.747706969234711763e-11 1.080281319660017604e-10 1.146242581251043918e-02 5.901153290340578556e+08
2.522830063992569446e+19 1.150804617899294777e-26 4.747706932826165170e-11 1.092894535626125473e-10 1.146242572460900305e-02 5.901153320509867668e+08
2.552286306598703514e+19 1.150804608866881276e-26 4.747706895562453410e-11 1.105655021499856170e-10 1.146242563464293374e-02 5.901153351387774944e+08
2.582086476542992384e+19 1.150804599622314148e-26 4.747706857423489565e-11 1.118564496771875650e-10 1.146242554256373704e-02 5.901153382990943193e+08
2.612234589477202330e+19 1.150804590160610025e-26 4.747706818388715613e-11 1.131624701008878760e-10 1.146242544832177905e-02 5.901153415336409807e+08
2.642734707939403366e+19 1.150804580476668879e-26 4.747706778437090146e-11 1.144837394088032005e-10 1.146242535186626013e-02 5.901153448441609144e+08
2.673590941901321011e+19 1.150804570565270725e-26 4.747706737547079327e-11 1.158204356434060699e-10 1.146242525314518888e-02 5.901153482324385643e+08
2.704807449322187162e+19 1.150804560421073175e-26 4.747706695696642023e-11 1.171727389259150730e-10 1.146242515210535266e-02 5.901153517003002167e+08
2.736388436709036442e+19 1.150804550038608431e-26 4.747706652863219468e-11 1.185408314805642577e-10 1.146242504869228809e-02 5.901153552496153116e+08
2.768338159683565978e+19 1.150804539412279548e-26 4.747706609023723630e-11 1.199248976591559712e-10 1.146242494285025157e-02 5.901153588822970390e+08
