# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
5.554800000000000524e+21 1.449787906142423976e-26 2.034147374687286985e-11 1.083649666696935314e-09 1.473327159439306346e-02 2.221589681514632630e+01 2.074567839753350342e+12 2.148504918418746091e-06
5.628864000000000000e+21 1.449703957774503995e-26 2.034029589629562080e-11 1.110311318714904558e-09 1.473241848056915104e-02 2.221675444784693454e+01 2.155813151837121826e+12 2.148504918418746091e-06
5.702927999999999476e+21 1.449617965135394879e-26 2.033908936325485558e-11 1.137206068935475744e-09 1.473154459211847150e-02 2.221763305104001418e+01 2.239041789515681641e+12 2.148504918418746091e-06
5.776992000000000000e+21 1.449529910907328716e-26 2.033785390477095124e-11 1.164329879166910561e-09 1.473064975305157266e-02 2.221853280789982321e+01 2.324270867464109863e+12 2.148504918418746091e-06
5.851056000000000524e+21 1.449439778094301623e-26 2.033658928237883302e-11 1.191678699098069105e-09 1.472973379064888497e-02 2.221945389853489061e+01 2.411517200897365234e+12 2.148504918418746091e-06
5.925120000000000000e+21 1.449347550025674844e-26 2.033529526217853581e-11 1.219248467464891509e-09 1.472879653549732243e-02 2.222039649995384281e+01 2.500797304594221680e+12 2.148504918418746091e-06
5.999183999999999476e+21 1.449253210356175897e-26 2.033397161483517506e-11 1.247035113209695696e-09 1.472783782149028435e-02 2.222136078606789766e+01 2.592127392156217285e+12 2.148504918418746091e-06
6.073248000000000000e+21 1.449156743065898003e-26 2.033261811557897260e-11 1.275034556632794160e-09 1.472685748582765707e-02 2.222234692769332298e+01 2.685523375397239258e+12 2.148504918418746091e-06
6.147312000000000524e+21 1.449058132460300658e-26 2.033123454420523731e-11 1.303242710535962181e-09 1.472585536901581220e-02 2.222335509255378483e+01 2.781000863619865723e+12 2.148504918418746091e-06
6.221376000000000000e+21 1.448957363170208196e-26 2.032982068507438120e-11 1.331655481357278747e-09 1.472483131486760494e-02 2.222438544528262483e+01 2.878575163201624512e+12 2.148504918418746091e-06
6.295439999999999476e+21 1.448854420151877811e-26 2.032837632711283715e-11 1.360268770296893732e-09 1.472378517050305230e-02 2.222543814742435586e+01 2.978261277156040039e+12 2.148504918418746091e-06
6.369504000000000000e+21 1.448749288691502644e-26 2.032690126387625090e-11 1.389078474433261189e-09 1.472271678639510036e-02 2.222651335739069367e+01 3.080073904718189941e+12 2.148504918418746091e-06
6.443568000000000524e+21 1.448641954404840721e-26 2.032539529354430478e-11 1.418080487829419590e-09 1.472162601636585813e-02 2.222761123046631582e+01 3.184027441149576660e+12 2.148504918418746091e-06
6.517632000000000000e+21 1.448532403235123102e-26 2.032385821889130428e-11 1.447270702628889302e-09 1.472051271756532470e-02 2.222873191883217103e+01 3.290135977534075684e+12 2.148504918418746091e-06
6.591695999999999476e+21 1.448420621454193797e-26 2.032228984730224994e-11 1.476645010140778453e-09 1.471937675048299796e-02 2.222987557155554583e+01 3.398413300664795410e+12 2.148504918418746091e-06
6.665760000000000000e+21 1.448306595662512919e-26 2.032068999077281150e-11 1.506199301913705729e-09 1.471821797894787634e-02 2.223104233459180179e+01 3.508872893045661133e+12 2.148504918418746091e-06
6.739824000000000524e+21 1.448190312789153527e-26 2.031905846590932464e-11 1.535929470798140582e-09 1.471703627012845364e-02 2.223223235078592452e+01 3.621527932927237793e+12 2.148504918418746091e-06
6.813888000000000000e+21 1.448071760091804212e-26 2.031739509392882009e-11 1.565831411996811346e-09 1.471583149453272940e-02 2.223344575987402294e+01 3.736391294409366699e+12 2.148504918418746091e-06
